1. 炮二平五 炮2平5
2. 马二进三 马8进7
3. 车一平二 车9进2
4. 炮八进二 卒9进1
5. 炮八平三 马7退5
6. 炮五进四 炮8平7
7. 炮三进三 车9平7
8. 车九进一 马2进3
9. 炮五退一 车1平2
10. 车二进八 车2进9
11. 车九平四 马3进5
12. 兵五进一 车2平3
13. 仕四进五 后马进3
14. 车二平四 士4进5
15. 炮五进二 车7平5
16. 兵五进一 马5退7
17. 前车平三 车3退3
18. 兵三进一 车3平7
19. 马三退一 象7进9
20. 车四进五 车7退1
21. 相三进五 车7进3
22. 马一进二 车7平8
23. 马二进四 车8进1
24. 仕五退四 卒7进1
25. 车四平三 车8退4
26. 前车退一 车8平6
27. 前车平五 象3进5
28. 车三平七 马3退4
29. 兵五进一 车6进2
30. 相五退七 象5退7
31. 仕六进五 车6平9
32. 兵九进一 卒7进1
33. 车七退三 象9进7
34. 车七平五 车9平2
35. 仕五退六 车2退2
36. 车五进二 后象进9
37. 仕四进五 车2平1
38. 相七进五 卒7平6
39. 兵五平六 车1进1
40. 车五平四 车1平5
41. 相五退三 卒6平7
42. 相三进一 卒7平8
43. 相一退三 车5平9
44. 兵六平五 车9平5
45. 车四退一 卒9进1
46. 兵五平六 卒1进1
47. 车四平六 车5平1
48. 兵六进一 车1平7
49. 相三进五 车7平8
50. 兵六进一 马4进2
51. 车六平五 象9退7
52. 车五进一 车8进3
53. 仕五退四 车8退2
54. 相五进七 前象退5
55. 车五平八 马2退4
56. 兵六进一 士5退4
57. 车八平九 车8平3
58. 车九退一 卒8平7
59. 车九平八 卒7平6
60. 车八平九 卒6平5
61. 仕四进五 卒9平8
62. 相七退九 卒5进1
63. 相九进七 卒8平7
64. 车九平八 卒7进1
65. 车八平九 卒7平6
66. 车九平八 卒6进1
67. 仕五进四 车3平6
68. 车八进四 卒5进1
69. 车八平三 车6平8
70. 车三退八 士4进5
71. 车三平一 卒5平4
72. 仕六进五 车8退2
73. 车一进二 卒4进1
74. 相七退五 车8平2
75. 仕五退六 车2进4
76. 帅五平四 车2平4
77. 帅四进一 车4平5
78. 相五进七 卒4平5
79. 帅四进一 车5平3
80. 车一进二 车3平6
81. 帅四平五 卒5平6
82. 车一平四 车6平5
83. 帅五平四 卒6平5
84. 车四平五 车5平6
85. 帅四平五 车6平5
86. 车五平六 卒5平4
87. 帅五平六 卒4平5
88. 车六平四 车5平4
89. 帅六平五 车4平5
90. 车四进二 士5退4
91. 车四进二 士6进5
92. 车四退二 士5进4
93. 车四进二 后士进5
94. 车四退二 象7进9
95. 车四平八 象9退7
96. 车八平六 象5退3
97. 帅五平四 车5平6
98. 帅四平五 车6平5
99. 帅五平四 车5平6
100. 帅四平五 车6平5
101. 帅五平四 车5平7
102. 帅四平五 车7平5
103. 帅五平四 车5平7
104. 帅四平五 车7平5
105. 帅五平四 车5平7
106. 帅四平五 车7平5
107. 帅五平四 车5平7
108. 帅四平五 车7平5
109. 帅五平四 车5平7
110. 帅四平五 车7平5
111. 帅五平四 车5平7
112. 帅四平五 车7平5
113. 帅五平四 车5平7
